date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-01,4,3,1,1,0,0,1,3,1,2,0.333,0.5,1.333,1.833
2021-04-03,4,3,0,0,0,0,0,1,0,1,0.167,0.25,0.667,0.917
2021-04-04,3,2,0,0,0,0,0,0,0,0,0.125,0.273,0.5,0.773
2021-04-05,4,3,0,0,0,0,0,0,1,1,0.091,0.267,0.364,0.63
2021-04-06,4,4,1,1,0,0,1,1,0,2,0.133,0.263,0.533,0.796
2021-04-07,4,4,1,1,0,0,1,4,0,1,0.158,0.261,0.632,0.892
2021-04-08,3,3,0,1,1,0,0,0,0,1,0.182,0.269,0.636,0.906
2021-04-10,5,4,1,1,0,0,0,0,1,1,0.192,0.29,0.577,0.867
2021-04-11,4,3,1,1,0,0,0,0,1,1,0.207,0.314,0.552,0.866
2021-04-12,4,4,0,0,0,0,0,0,0,2,0.182,0.282,0.485,0.767
2021-04-13,5,4,2,3,0,0,0,0,1,1,0.243,0.341,0.514,0.854
2021-04-14,1,0,0,0,0,0,0,0,1,0,0.243,0.356,0.514,0.869
2021-04-16,3,3,1,1,1,0,0,0,0,0,0.25,0.354,0.525,0.879
2021-04-17,5,4,1,2,1,0,0,1,1,1,0.273,0.377,0.545,0.923
2021-04-18,3,3,0,0,0,0,0,0,0,1,0.255,0.357,0.511,0.868
2021-04-19,5,3,2,1,0,1,0,0,1,0,0.26,0.377,0.54,0.917
2021-04-20,4,4,1,1,0,1,0,1,0,0,0.259,0.369,0.556,0.925
2021-04-21,4,3,0,0,0,0,0,0,1,2,0.246,0.362,0.526,0.889
2021-04-23,4,3,1,1,0,0,0,0,1,1,0.25,0.37,0.517,0.886
2021-04-24,4,4,0,3,0,0,0,0,0,0,0.281,0.39,0.531,0.921
2021-04-25,4,4,1,3,1,0,0,1,0,1,0.309,0.407,0.559,0.966
2021-04-26,4,4,0,0,0,0,0,1,0,2,0.292,0.388,0.528,0.916
2021-04-27,4,4,2,2,0,0,0,0,0,0,0.303,0.393,0.526,0.92
2021-04-28,4,4,0,1,1,0,0,0,0,1,0.3,0.387,0.525,0.912
2021-04-29,4,4,0,0,0,0,0,0,0,2,0.286,0.371,0.5,0.871
2021-04-30,5,5,1,1,1,0,0,0,0,2,0.281,0.363,0.494,0.857
2021-05-01,6,5,1,1,1,0,0,0,1,2,0.277,0.361,0.489,0.85
2021-05-02,4,4,0,0,0,0,0,0,0,1,0.265,0.348,0.469,0.818
2021-05-03,4,3,1,1,0,0,0,1,0,1,0.267,0.345,0.465,0.81
2021-05-05,3,3,1,1,0,0,0,0,0,1,0.269,0.345,0.462,0.806
2021-05-05,1,1,0,1,0,0,0,1,0,0,0.276,0.35,0.467,0.817
2021-05-06,4,4,0,1,0,0,0,0,0,1,0.275,0.347,0.459,0.806
2021-05-07,4,4,0,2,0,0,0,1,0,1,0.283,0.352,0.46,0.812
