date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-29,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2021-04-30,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-05-01,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2021-05-02,5,5,0,2,0,0,0,0,0,1,0.25,0.25,0.25,0.5
2021-05-04,1,1,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444
2021-05-05,3,1,1,0,0,0,0,0,2,0,0.2,0.333,0.2,0.533
2021-05-07,3,3,0,0,0,0,0,0,0,1,0.154,0.267,0.154,0.42
2021-05-08,1,1,0,0,0,0,0,0,0,1,0.143,0.25,0.143,0.393
2021-05-09,1,1,0,0,0,0,0,0,0,0,0.133,0.235,0.133,0.369
2021-05-11,1,1,0,0,0,0,0,0,0,0,0.125,0.222,0.125,0.347
2021-05-12,2,2,0,0,0,0,0,0,0,0,0.111,0.2,0.111,0.311
2021-05-12,1,1,0,0,0,0,0,0,0,0,0.105,0.19,0.105,0.296
2021-05-29,1,1,0,1,1,0,0,0,0,0,0.15,0.227,0.2,0.427
2021-05-30,5,4,0,1,0,0,0,1,1,2,0.167,0.259,0.208,0.468
2021-06-03,5,4,2,1,0,0,0,0,1,0,0.179,0.281,0.214,0.496
2021-06-06,1,1,0,0,0,0,0,0,0,0,0.172,0.273,0.207,0.48
2021-06-08,2,2,0,0,0,0,0,0,0,1,0.161,0.257,0.194,0.451
2021-07-10,1,1,0,0,0,0,0,0,0,0,0.156,0.25,0.188,0.438
2021-07-11,1,1,0,0,0,0,0,0,0,0,0.152,0.243,0.182,0.425
2021-07-17,1,1,0,0,0,0,0,0,0,0,0.147,0.237,0.176,0.413
2021-07-18,1,1,0,1,0,0,0,1,0,0,0.171,0.256,0.2,0.456
2021-07-24,1,1,0,0,0,0,0,0,0,1,0.167,0.25,0.194,0.444
