Unnamed: 0,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-09,5,5,0,1,1,0,0,2,0,1,0.2,0.2,0.4,0.6
1,2021-04-10,5,5,0,0,0,0,0,0,0,2,0.1,0.1,0.2,0.3
2,2021-04-12,5,4,1,3,0,0,0,1,1,0,0.286,0.333,0.357,0.69
3,2021-04-13,5,5,1,1,0,0,0,0,0,3,0.263,0.3,0.316,0.616
4,2021-04-16,4,4,0,1,0,0,0,0,0,1,0.261,0.292,0.304,0.596
5,2021-04-17,4,3,1,1,0,0,1,1,1,1,0.269,0.321,0.423,0.744
6,2021-04-18,1,1,0,0,0,0,0,0,0,0,0.259,0.31,0.407,0.718
7,2021-04-20,5,5,1,2,2,0,0,0,0,1,0.281,0.324,0.469,0.792
8,2021-04-21,5,5,0,1,0,0,0,0,0,2,0.27,0.308,0.432,0.74
9,2021-04-22,1,1,0,1,0,0,0,0,0,0,0.289,0.325,0.447,0.772
10,2021-04-23,4,4,0,0,0,0,0,0,0,1,0.262,0.295,0.405,0.7
11,2021-04-25,4,3,2,2,0,0,1,1,1,1,0.289,0.333,0.489,0.822
12,2021-04-27,3,3,0,1,0,0,0,0,0,0,0.292,0.333,0.479,0.812
13,April,51,48,6,14,3,0,2,5,3,13,0.292,0.333,0.479,0.812
14,2021-07-10,3,3,0,0,0,0,0,0,0,1,0.275,0.315,0.451,0.766
15,2021-07-11,1,1,0,0,0,0,0,0,0,0,0.269,0.309,0.442,0.751
16,2021-07-16,4,4,0,1,0,0,0,0,0,0,0.268,0.305,0.429,0.734
17,2021-07-17,1,1,0,0,0,0,0,0,0,0,0.263,0.3,0.421,0.721
18,2021-07-18,5,5,0,1,0,0,0,1,0,0,0.258,0.292,0.403,0.696
19,2021-07-19,4,3,1,0,0,0,0,0,1,1,0.246,0.29,0.385,0.674
20,2021-07-20,3,3,0,0,0,0,0,0,0,1,0.235,0.278,0.368,0.645
21,2021-07-21,5,4,0,0,0,0,0,1,1,3,0.222,0.273,0.347,0.62
22,2021-07-23,5,4,0,1,0,0,0,0,1,2,0.224,0.28,0.342,0.623
23,2021-07-24,5,5,0,0,0,0,0,0,0,1,0.21,0.264,0.321,0.585
24,2021-07-25,4,4,0,1,0,0,0,0,0,2,0.212,0.264,0.318,0.581
25,2021-07-27,4,4,0,2,1,0,0,1,0,0,0.225,0.274,0.337,0.611
26,2021-07-28,4,4,0,0,0,0,0,0,0,1,0.215,0.263,0.323,0.585
27,2021-07-30,5,4,0,1,0,0,0,0,1,0,0.216,0.269,0.32,0.589
28,2021-07-31,4,4,1,2,0,0,1,2,0,0,0.228,0.278,0.356,0.634
29,July,57,53,2,9,1,0,1,5,4,12,0.17,0.228,0.245,0.473
30,2021-08-02,5,4,2,2,0,0,0,0,1,0,0.238,0.292,0.362,0.654
31,2021-08-03,5,4,0,1,1,0,0,0,1,1,0.239,0.297,0.367,0.664
32,2021-08-04,4,4,0,1,0,0,0,0,0,0,0.239,0.295,0.363,0.658
33,2021-08-06,5,5,0,1,0,0,0,0,0,1,0.237,0.291,0.356,0.647
34,2021-08-07,4,4,1,2,0,0,0,0,0,0,0.246,0.298,0.361,0.658
35,2021-08-08,4,4,0,1,1,0,0,0,0,2,0.246,0.296,0.365,0.661
36,2021-08-10,4,4,0,0,0,0,0,0,0,1,0.238,0.288,0.354,0.642
37,2021-08-11,1,0,0,0,0,0,0,0,1,0,0.238,0.293,0.354,0.647
38,August,32,29,3,8,2,0,0,0,3,5,0.276,0.344,0.345,0.689
39,2021-09-17,5,3,1,1,0,0,1,1,2,1,0.241,0.303,0.376,0.679
40,2021-09-18,5,5,1,1,0,0,0,1,0,2,0.239,0.3,0.37,0.67
41,2021-09-19,4,2,1,0,0,0,0,1,1,0,0.236,0.299,0.364,0.663
42,2021-09-21,1,0,0,0,0,0,0,0,1,0,0.236,0.303,0.364,0.668
43,2021-09-22,4,4,0,1,1,0,0,1,0,1,0.236,0.302,0.368,0.67
44,2021-09-23,2,2,1,1,1,0,0,0,0,1,0.24,0.304,0.377,0.681
45,2021-09-24,4,4,1,1,0,0,1,1,0,1,0.24,0.303,0.393,0.696
46,2021-09-25,1,1,0,1,0,0,0,1,0,0,0.245,0.307,0.397,0.705
